Timp sistem,octeti specifici (Wh)
14:46:06.155,0000004200 Wh
14:46:06.820,0000004200 Wh
14:46:07.833,0000004200 Wh
14:46:08.816,0000004200 Wh
14:46:09.836,0000004200 Wh
14:46:11.153,0000004200 Wh
14:46:11.836,0000004200 Wh
14:46:12.835,0000004200 Wh
14:46:13.845,0000004200 Wh
14:46:14.843,0000004200 Wh
14:46:16.163,0000004200 Wh
14:46:16.839,0000004200 Wh
14:46:17.848,0000004200 Wh
14:46:18.847,0000004200 Wh
14:46:19.842,0000004200 Wh
14:46:21.168,0000004200 Wh
14:46:21.848,0000004200 Wh
14:46:22.844,0000004200 Wh
14:46:23.860,0000004200 Wh
14:46:24.864,0000004200 Wh
14:46:26.189,0000004201 Wh
14:46:26.867,0000004201 Wh
14:46:27.863,0000004201 Wh
14:46:28.859,0000004201 Wh
14:46:29.854,0000004201 Wh
14:46:31.192,0000004201 Wh
14:46:31.876,0000004201 Wh
14:46:32.871,0000004201 Wh
14:46:33.870,0000004201 Wh
14:46:34.881,0000004201 Wh
14:46:36.194,0000004201 Wh
14:46:36.883,0000004201 Wh
14:46:37.887,0000004201 Wh
14:46:38.882,0000004201 Wh
14:46:39.895,0000004201 Wh
14:46:41.194,0000004201 Wh
14:46:41.890,0000004201 Wh
14:46:42.902,0000004201 Wh
14:46:43.884,0000004201 Wh
14:46:44.894,0000004201 Wh
14:46:46.205,0000004201 Wh
14:46:46.900,0000004201 Wh
14:46:47.909,0000004201 Wh
14:46:48.893,0000004201 Wh
14:46:49.908,0000004201 Wh
14:46:51.237,0000004201 Wh
14:46:51.901,0000004201 Wh
14:46:52.912,0000004201 Wh
14:46:53.905,0000004201 Wh
14:46:54.914,0000004201 Wh
14:46:56.242,0000004201 Wh
14:46:56.906,0000004201 Wh
14:46:57.916,0000004201 Wh
14:46:58.911,0000004201 Wh
14:46:59.922,0000004201 Wh
14:47:01.251,0000004201 Wh
14:47:01.916,0000004201 Wh
14:47:02.926,0000004201 Wh
14:47:03.937,0000004201 Wh
14:47:04.918,0000004201 Wh
14:47:06.243,0000004201 Wh
14:47:06.924,0000004201 Wh
14:47:07.933,0000004201 Wh
14:47:08.941,0000004201 Wh
14:47:09.933,0000004201 Wh
14:47:11.265,0000004201 Wh
14:47:11.936,0000004201 Wh
14:47:12.937,0000004201 Wh
14:47:13.949,0000004201 Wh
14:47:14.943,0000004201 Wh
14:47:16.272,0000004201 Wh
14:47:16.952,0000004201 Wh
14:47:17.948,0000004201 Wh
14:47:18.947,0000004201 Wh
14:47:19.961,0000004201 Wh
14:47:21.291,0000004201 Wh
14:47:21.957,0000004201 Wh
14:47:22.950,0000004201 Wh
14:47:23.959,0000004201 Wh
14:47:24.968,0000004201 Wh
14:47:26.298,0000004201 Wh
14:47:26.963,0000004201 Wh
14:47:27.954,0000004201 Wh
14:47:28.965,0000004201 Wh
14:47:29.975,0000004201 Wh
14:47:31.304,0000004201 Wh
14:47:31.981,0000004201 Wh
14:47:32.988,0000004201 Wh
14:47:33.974,0000004201 Wh
14:47:34.986,0000004201 Wh
14:47:36.312,0000004201 Wh
14:47:36.986,0000004201 Wh
14:47:37.986,0000004201 Wh
14:47:38.998,0000004201 Wh
14:47:39.991,0000004201 Wh
14:47:41.320,0000004201 Wh
14:47:41.993,0000004201 Wh
14:47:42.995,0000004201 Wh
14:47:44.006,0000004201 Wh
14:47:45.002,0000004201 Wh
14:47:46.326,0000004201 Wh
14:47:46.991,0000004201 Wh
14:47:48.010,0000004201 Wh
14:47:48.989,0000004201 Wh
14:47:50.344,0000004201 Wh
14:47:51.007,0000004201 Wh
14:47:52.004,0000004201 Wh
14:47:53.017,0000004201 Wh
14:47:54.012,0000004201 Wh
14:47:55.006,0000004201 Wh
14:47:56.348,0000004201 Wh
14:47:57.010,0000004201 Wh
14:47:58.023,0000004201 Wh
14:47:59.032,0000004201 Wh
14:48:00.013,0000004201 Wh
14:48:01.338,0000004201 Wh
14:48:02.033,0000004201 Wh
14:48:03.027,0000004201 Wh
14:48:04.040,0000004201 Wh
14:48:05.032,0000004201 Wh
14:48:06.349,0000004201 Wh
14:48:07.046,0000004201 Wh
14:48:08.030,0000004201 Wh
14:48:09.040,0000004201 Wh
14:48:10.038,0000004201 Wh
14:48:11.352,0000004201 Wh
14:48:12.046,0000004201 Wh
14:48:13.041,0000004201 Wh
14:48:14.053,0000004201 Wh
14:48:15.047,0000004201 Wh
14:48:16.364,0000004201 Wh
14:48:17.060,0000004201 Wh
14:48:18.040,0000004201 Wh
14:48:19.054,0000004201 Wh
14:48:20.065,0000004201 Wh
14:48:21.391,0000004201 Wh
14:48:22.057,0000004201 Wh
14:48:23.065,0000004201 Wh
14:48:24.057,0000004201 Wh
14:48:25.070,0000004201 Wh
14:48:26.396,0000004201 Wh
14:48:27.076,0000004201 Wh
14:48:28.083,0000004201 Wh
14:48:29.072,0000004201 Wh
14:48:30.082,0000004201 Wh
14:48:31.407,0000004201 Wh
14:48:32.074,0000004201 Wh
14:48:33.085,0000004201 Wh
14:48:34.080,0000004201 Wh
14:48:35.087,0000004201 Wh
14:48:36.405,0000004201 Wh
14:48:37.082,0000004201 Wh
14:48:38.092,0000004201 Wh
14:48:39.104,0000004201 Wh
14:48:40.097,0000004201 Wh
14:48:41.410,0000004201 Wh
14:48:42.089,0000004201 Wh
14:48:43.099,0000004201 Wh
14:48:44.112,0000004201 Wh
14:48:45.091,0000004201 Wh
14:48:46.432,0000004201 Wh
14:48:47.112,0000004201 Wh
14:48:48.110,0000004201 Wh
14:48:49.119,0000004201 Wh
14:48:50.113,0000004201 Wh
14:48:51.437,0000004201 Wh
14:48:52.118,0000004201 Wh
14:48:53.112,0000004201 Wh
14:48:54.126,0000004202 Wh
14:48:55.134,0000004202 Wh
14:48:56.450,0000004202 Wh
14:48:57.129,0000004202 Wh
14:48:58.121,0000004202 Wh
14:48:59.133,0000004202 Wh
14:49:00.140,0000004202 Wh
14:49:01.469,0000004202 Wh
14:49:02.141,0000004202 Wh
14:49:03.144,0000004202 Wh
14:49:04.137,0000004202 Wh
14:49:05.147,0000004202 Wh
14:49:06.471,0000004202 Wh
14:49:07.145,0000004202 Wh
14:49:08.144,0000004202 Wh
14:49:09.138,0000004202 Wh
14:49:10.150,0000004202 Wh
14:49:11.480,0000004202 Wh
14:49:12.142,0000004202 Wh
14:49:13.153,0000004202 Wh
14:49:14.163,0000004202 Wh
14:49:15.159,0000004202 Wh
14:49:16.491,0000004202 Wh
14:49:17.159,0000004202 Wh
14:49:18.167,0000004202 Wh
14:49:19.148,0000004202 Wh
14:49:20.157,0000004202 Wh
14:49:21.497,0000004202 Wh
14:49:22.159,0000004202 Wh
14:49:23.168,0000004202 Wh
14:49:24.160,0000004202 Wh
14:49:25.173,0000004202 Wh
14:49:26.501,0000004202 Wh
14:49:27.167,0000004202 Wh
14:49:28.176,0000004202 Wh
14:49:29.189,0000004202 Wh
14:49:30.182,0000004202 Wh
14:49:31.508,0000004202 Wh
14:49:32.189,0000004202 Wh
14:49:33.187,0000004202 Wh
14:49:34.198,0000004202 Wh
14:49:35.190,0000004202 Wh
14:49:36.519,0000004202 Wh
14:49:37.198,0000004202 Wh
14:49:38.192,0000004202 Wh
14:49:39.200,0000004202 Wh
14:49:40.195,0000004202 Wh
14:49:41.523,0000004202 Wh
14:49:42.202,0000004202 Wh
14:49:43.197,0000004202 Wh
14:49:44.205,0000004202 Wh
14:49:45.202,0000004202 Wh
14:49:46.548,0000004202 Wh
14:49:47.218,0000004202 Wh
14:49:48.202,0000004202 Wh
14:49:49.212,0000004202 Wh
14:49:50.222,0000004202 Wh
14:49:51.546,0000004202 Wh
14:49:52.225,0000004202 Wh
14:49:53.235,0000004202 Wh
14:49:54.215,0000004202 Wh
14:49:55.234,0000004202 Wh
14:49:56.551,0000004202 Wh
14:49:57.229,0000004202 Wh
14:49:58.238,0000004202 Wh
14:49:59.234,0000004202 Wh
14:50:00.242,0000004202 Wh
14:50:01.552,0000004202 Wh
14:50:02.242,0000004202 Wh
14:50:03.242,0000004202 Wh
14:50:04.238,0000004202 Wh
14:50:05.248,0000004202 Wh
14:50:06.576,0000004202 Wh
14:50:07.238,0000004202 Wh
14:50:08.256,0000004202 Wh
14:50:09.245,0000004202 Wh
14:50:10.248,0000004202 Wh
14:50:11.580,0000004202 Wh
14:50:12.254,0000004202 Wh
14:50:13.257,0000004202 Wh
14:50:14.261,0000004202 Wh
14:50:15.265,0000004202 Wh
14:50:16.592,0000004202 Wh
14:50:17.255,0000004202 Wh
14:50:18.258,0000004202 Wh
14:50:19.277,0000004202 Wh
14:50:20.266,0000004202 Wh
14:50:21.600,0000004202 Wh
14:50:22.258,0000004202 Wh
14:50:23.277,0000004202 Wh
14:50:24.284,0000004202 Wh
14:50:25.278,0000004202 Wh
14:50:26.615,0000004202 Wh
14:50:27.295,0000004202 Wh
14:50:28.285,0000004202 Wh
14:50:29.285,0000004202 Wh
14:50:30.282,0000004202 Wh
14:50:31.604,0000004202 Wh
14:50:32.293,0000004202 Wh
14:50:33.290,0000004202 Wh
14:50:34.282,0000004202 Wh
14:50:35.268,0000004202 Wh
14:50:36.598,0000004202 Wh
14:50:37.272,0000004202 Wh
14:50:38.284,0000004202 Wh
14:50:39.292,0000004202 Wh
14:50:40.279,0000004202 Wh
14:50:41.611,0000004202 Wh
14:50:42.300,0000004202 Wh
14:50:43.287,0000004202 Wh
14:50:44.289,0000004202 Wh
14:50:45.288,0000004202 Wh
14:50:46.609,0000004202 Wh
14:50:47.299,0000004202 Wh
14:50:48.286,0000004202 Wh
14:50:49.305,0000004202 Wh
14:50:50.308,0000004202 Wh
14:50:51.641,0000004202 Wh
14:50:52.300,0000004202 Wh
14:50:53.304,0000004202 Wh
14:50:54.308,0000004202 Wh
14:50:55.296,0000004202 Wh
14:50:56.646,0000004202 Wh
14:50:57.320,0000004202 Wh
14:50:58.309,0000004202 Wh
14:50:59.313,0000004202 Wh
14:51:00.317,0000004202 Wh
14:51:01.634,0000004202 Wh
14:51:02.324,0000004202 Wh
14:51:03.329,0000004203 Wh
14:51:04.317,0000004203 Wh
14:51:05.331,0000004203 Wh
14:51:06.638,0000004203 Wh
14:51:07.328,0000004203 Wh
14:51:08.342,0000004203 Wh
14:51:09.335,0000004203 Wh
14:51:10.340,0000004203 Wh
14:51:11.659,0000004203 Wh
14:51:12.343,0000004203 Wh
14:51:13.338,0000004203 Wh
14:51:14.358,0000004203 Wh
14:51:15.347,0000004203 Wh
14:51:16.665,0000004203 Wh
14:51:17.340,0000004203 Wh
14:51:18.338,0000004203 Wh
14:51:19.350,0000004203 Wh
14:51:20.339,0000004203 Wh
14:51:21.641,0000004203 Wh
14:51:22.332,0000004203 Wh
14:51:23.330,0000004203 Wh
14:51:24.340,0000004203 Wh
14:51:25.346,0000004203 Wh
14:51:26.665,0000004203 Wh
14:51:27.340,0000004203 Wh
14:51:28.345,0000004203 Wh
14:51:29.344,0000004203 Wh
14:51:30.354,0000004203 Wh
14:51:31.683,0000004203 Wh
14:51:32.348,0000004203 Wh
14:51:33.352,0000004203 Wh
14:51:34.355,0000004203 Wh
14:51:35.358,0000004203 Wh
14:51:36.689,0000004203 Wh
14:51:37.347,0000004203 Wh
14:51:38.366,0000004203 Wh
14:51:39.353,0000004203 Wh
14:51:40.357,0000004203 Wh
14:51:41.689,0000004203 Wh
14:51:42.362,0000004203 Wh
14:51:43.364,0000004203 Wh
14:51:44.382,0000004203 Wh
14:51:45.369,0000004203 Wh
14:51:46.700,0000004203 Wh
14:51:47.374,0000004203 Wh
14:51:48.380,0000004203 Wh
14:51:49.385,0000004203 Wh
14:51:50.383,0000004203 Wh
14:51:51.707,0000004203 Wh
14:51:52.381,0000004203 Wh
14:51:53.398,0000004203 Wh
14:51:54.406,0000004203 Wh
14:51:55.390,0000004203 Wh
14:51:56.734,0000004203 Wh
14:51:57.406,0000004203 Wh
14:51:58.396,0000004203 Wh
14:51:59.406,0000004203 Wh
14:52:00.396,0000004203 Wh
14:52:01.739,0000004203 Wh
14:52:02.409,0000004203 Wh
14:52:03.406,0000004203 Wh
14:52:04.411,0000004203 Wh
14:52:05.406,0000004203 Wh
14:52:06.728,0000004203 Wh
14:52:07.421,0000004203 Wh
14:52:08.429,0000004203 Wh
14:52:09.421,0000004203 Wh
14:52:10.426,0000004203 Wh
14:52:11.737,0000004203 Wh
14:52:12.426,0000004203 Wh
14:52:13.441,0000004203 Wh
14:52:14.426,0000004203 Wh
14:52:15.436,0000004203 Wh
14:52:16.756,0000004203 Wh
14:52:17.436,0000004203 Wh
14:52:18.441,0000004203 Wh
14:52:19.436,0000004203 Wh
14:52:20.437,0000004203 Wh
14:52:21.766,0000004204 Wh
14:52:22.441,0000004204 Wh
14:52:23.446,0000004204 Wh
14:52:24.436,0000004204 Wh
14:52:25.449,0000004204 Wh
14:52:26.776,0000004204 Wh
14:52:27.450,0000004204 Wh
14:52:28.456,0000004204 Wh
14:52:29.446,0000004204 Wh
14:52:30.457,0000004204 Wh
14:52:31.782,0000004204 Wh
14:52:32.456,0000004204 Wh
14:52:33.456,0000004204 Wh
14:52:34.468,0000004204 Wh
14:52:35.456,0000004204 Wh
14:52:36.792,0000004204 Wh
14:52:37.461,0000004204 Wh
14:52:38.466,0000004204 Wh
14:52:39.476,0000004204 Wh
14:52:40.466,0000004204 Wh
14:52:41.813,0000004204 Wh
14:52:42.466,0000004204 Wh
14:52:43.476,0000004204 Wh
14:52:44.486,0000004204 Wh
14:52:45.476,0000004204 Wh
14:52:46.806,0000004204 Wh
14:52:47.487,0000004204 Wh
14:52:48.486,0000004204 Wh
14:52:49.491,0000004204 Wh
14:52:50.498,0000004204 Wh
14:52:51.806,0000004204 Wh
14:52:52.496,0000004204 Wh
14:52:53.491,0000004204 Wh
14:52:54.496,0000004204 Wh
14:52:55.506,0000004204 Wh
14:52:56.836,0000004204 Wh
14:52:57.506,0000004204 Wh
14:52:58.516,0000004204 Wh
14:52:59.507,0000004204 Wh
14:53:00.516,0000004204 Wh
14:53:01.846,0000004204 Wh
14:53:02.513,0000004204 Wh
14:53:03.521,0000004204 Wh
14:53:04.506,0000004204 Wh
14:53:05.522,0000004205 Wh
14:53:06.847,0000004205 Wh
14:53:07.520,0000004205 Wh
14:53:08.526,0000004205 Wh
14:53:09.516,0000004205 Wh
14:53:10.526,0000004205 Wh
14:53:11.856,0000004205 Wh
14:53:12.526,0000004205 Wh
14:53:13.536,0000004205 Wh
14:53:14.541,0000004205 Wh
14:53:15.536,0000004205 Wh
14:53:16.861,0000004205 Wh
14:53:17.537,0000004205 Wh
14:53:18.541,0000004205 Wh
14:53:19.546,0000004205 Wh
14:53:20.541,0000004205 Wh
14:53:21.866,0000004205 Wh
14:53:22.556,0000004205 Wh
14:53:23.552,0000004205 Wh
14:53:24.556,0000004205 Wh
14:53:25.551,0000004205 Wh
14:53:26.896,0000004205 Wh
14:53:27.566,0000004205 Wh
14:53:28.559,0000004205 Wh
14:53:29.566,0000004205 Wh
14:53:30.556,0000004205 Wh
14:53:31.896,0000004205 Wh
14:53:32.573,0000004205 Wh
14:53:33.566,0000004205 Wh
14:53:34.570,0000004205 Wh
14:53:35.576,0000004205 Wh
14:53:36.907,0000004205 Wh
14:53:37.576,0000004205 Wh
14:53:38.586,0000004205 Wh
14:53:39.576,0000004205 Wh
14:53:40.586,0000004205 Wh
14:53:41.916,0000004205 Wh
14:53:42.587,0000004205 Wh
14:53:43.596,0000004205 Wh
14:53:44.586,0000004205 Wh
14:53:45.596,0000004205 Wh
14:53:46.906,0000004206 Wh
14:53:47.596,0000004206 Wh
14:53:48.596,0000004206 Wh
14:53:49.593,0000004206 Wh
14:53:50.609,0000004206 Wh
14:53:51.930,0000004206 Wh
14:53:52.607,0000004206 Wh
14:53:53.611,0000004206 Wh
14:53:54.596,0000004206 Wh
14:53:55.606,0000004206 Wh
14:53:56.938,0000004206 Wh
14:53:57.606,0000004206 Wh
14:53:58.616,0000004206 Wh
14:53:59.606,0000004206 Wh
14:54:00.616,0000004206 Wh
14:54:01.946,0000004206 Wh
14:54:02.632,0000004206 Wh
14:54:03.623,0000004206 Wh
14:54:04.626,0000004206 Wh
14:54:05.617,0000004206 Wh
14:54:06.946,0000004206 Wh
14:54:07.641,0000004206 Wh
14:54:08.632,0000004206 Wh
14:54:09.640,0000004206 Wh
14:54:10.626,0000004206 Wh
14:54:11.957,0000004206 Wh
14:54:12.646,0000004206 Wh
14:54:13.636,0000004206 Wh
14:54:14.646,0000004206 Wh
14:54:15.636,0000004206 Wh
14:54:16.978,0000004206 Wh
14:54:17.651,0000004206 Wh
14:54:18.646,0000004206 Wh
14:54:19.650,0000004206 Wh
14:54:20.656,0000004206 Wh
14:54:21.991,0000004206 Wh
14:54:22.656,0000004206 Wh
14:54:23.654,0000004206 Wh
14:54:24.659,0000004206 Wh
14:54:25.668,0000004206 Wh
14:54:26.996,0000004206 Wh
14:54:27.666,0000004206 Wh
14:54:28.676,0000004207 Wh
14:54:29.668,0000004207 Wh
14:54:30.676,0000004207 Wh
14:54:31.996,0000004207 Wh
14:54:32.676,0000004207 Wh
14:54:33.677,0000004207 Wh
14:54:34.666,0000004207 Wh
14:54:35.676,0000004207 Wh
14:54:37.006,0000004207 Wh
14:54:37.680,0000004207 Wh
14:54:38.689,0000004207 Wh
14:54:39.681,0000004207 Wh
14:54:40.687,0000004207 Wh
14:54:42.016,0000004207 Wh
14:54:42.690,0000004207 Wh
14:54:43.696,0000004207 Wh
14:54:44.696,0000004207 Wh
14:54:45.696,0000004207 Wh
14:54:47.023,0000004207 Wh
14:54:47.696,0000004207 Wh
14:54:48.701,0000004207 Wh
14:54:49.706,0000004207 Wh
14:54:50.701,0000004207 Wh
14:54:52.032,0000004207 Wh
14:54:52.720,0000004207 Wh
14:54:53.711,0000004207 Wh
14:54:54.716,0000004207 Wh
14:54:55.706,0000004207 Wh
14:54:57.039,0000004207 Wh
14:54:57.726,0000004207 Wh
14:54:58.716,0000004207 Wh
14:54:59.726,0000004207 Wh
14:55:00.716,0000004207 Wh
14:55:02.046,0000004207 Wh
14:55:02.734,0000004207 Wh
14:55:03.726,0000004207 Wh
14:55:04.726,0000004207 Wh
14:55:05.726,0000004207 Wh
